speaker1,statement1,speaker2,statement2,label
Savannah Guthrie,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",President Trump,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-",Counterargument
Savannah Guthrie,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",President Trump,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good.",Counterargument
Savannah Guthrie,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",President Trump,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-",Counterargument
Savannah Guthrie,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",President Trump,"I don’t know. I mean, I didn’t do too much asking. I really felt good. I didn’t have much of a problem with the lungs. I did have a little bit of a temperature. Obviously, I felt there was something missing, and then I tested, I tested positive.",Neutral
Savannah Guthrie,Do you have any remaining symptoms from COVID?,President Trump,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-",Counterargument
Savannah Guthrie,Do you have any remaining symptoms from COVID?,President Trump,"I don’t know. I mean, I didn’t do too much asking. I really felt good. I didn’t have much of a problem with the lungs. I did have a little bit of a temperature. Obviously, I felt there was something missing, and then I tested, I tested positive.",Counterargument
Savannah Guthrie,Do you have any remaining symptoms from COVID?,President Trump,"Yeah, and there shouldn’t be.",Counterargument
Savannah Guthrie,Did the doctors ever tell you that they saw pneumonia on your lung scans?,President Trump,"I don’t know. I mean, I didn’t do too much asking. I really felt good. I didn’t have much of a problem with the lungs. I did have a little bit of a temperature. Obviously, I felt there was something missing, and then I tested, I tested positive.",Counterargument
Savannah Guthrie,Did the doctors ever tell you that they saw pneumonia on your lung scans?,President Trump,"Yeah, and there shouldn’t be.",Counterargument
Savannah Guthrie,Did the doctors ever tell you that they saw pneumonia on your lung scans?,President Trump,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before.",Neutral
Savannah Guthrie,Infected with?,President Trump,"Yeah, and there shouldn’t be.",Counterargument
Savannah Guthrie,Infected with?,President Trump,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before.",Neutral
Savannah Guthrie,Infected with?,President Trump,"I don’t know, I don’t even remember. I test all the time. But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive. That’s when I first found out about it.",Counterargument
Savannah Guthrie,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this. And I think we can clear it up.",President Trump,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before.",Neutral
Savannah Guthrie,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this. And I think we can clear it up.",President Trump,"I don’t know, I don’t even remember. I test all the time. But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive. That’s when I first found out about it.",Neutral
Savannah Guthrie,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this. And I think we can clear it up.",President Trump,Yeah.,Neutral
Savannah Guthrie,"Your first positive test was Thursday, October 1st, okay? When was your last negative test? When did you last remember having a negative test?",President Trump,"I don’t know, I don’t even remember. I test all the time. But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive. That’s when I first found out about it.",Counterargument
Savannah Guthrie,"Your first positive test was Thursday, October 1st, okay? When was your last negative test? When did you last remember having a negative test?",President Trump,Yeah.,Neutral
Savannah Guthrie,"Your first positive test was Thursday, October 1st, okay? When was your last negative test? When did you last remember having a negative test?",President Trump,"I had no problem. Again, the doctors do it. I don’t ask them. I test all the time. And they-",Counterargument
Savannah Guthrie,Did you test the day of the debate?,President Trump,Yeah.,Neutral
Savannah Guthrie,Did you test the day of the debate?,President Trump,"I had no problem. Again, the doctors do it. I don’t ask them. I test all the time. And they-",Counterargument
Savannah Guthrie,Did you test the day of the debate?,President Trump,"If you ask as the doctor, they’ll give you a perfect answer. But they take a test and I leave and I go about my business.",Counterargument
Savannah Guthrie,"Well back to the debate, because the debate commission’s rules, it was the honor system.",President Trump,"I had no problem. Again, the doctors do it. I don’t ask them. I test all the time. And they-",Counterargument
Savannah Guthrie,"Well back to the debate, because the debate commission’s rules, it was the honor system.",President Trump,"If you ask as the doctor, they’ll give you a perfect answer. But they take a test and I leave and I go about my business.",Neutral
Savannah Guthrie,"Well back to the debate, because the debate commission’s rules, it was the honor system.",President Trump,"I probably did, and I took a test the day before and the day before, and I was always in great shape, and I was in great shape for the debate. And it was only after the debate, a period of time after the debate that I said, “That’s interesting.” And they took a test and it tested positive.",Counterargument
Savannah Guthrie,Would be that you would come with a negative test. You say you don’t know if you’ve got a test on the day of the debate?,President Trump,"If you ask as the doctor, they’ll give you a perfect answer. But they take a test and I leave and I go about my business.",Counterargument
Savannah Guthrie,Would be that you would come with a negative test. You say you don’t know if you’ve got a test on the day of the debate?,President Trump,"I probably did, and I took a test the day before and the day before, and I was always in great shape, and I was in great shape for the debate. And it was only after the debate, a period of time after the debate that I said, “That’s interesting.” And they took a test and it tested positive.",Counterargument
Savannah Guthrie,Would be that you would come with a negative test. You say you don’t know if you’ve got a test on the day of the debate?,President Trump,"No. No, but I take a lot of tests.",Counterargument
Savannah Guthrie,"Did you take a test, though, on the day of the debate?",President Trump,"I probably did, and I took a test the day before and the day before, and I was always in great shape, and I was in great shape for the debate. And it was only after the debate, a period of time after the debate that I said, “That’s interesting.” And they took a test and it tested positive.",Counterargument
Savannah Guthrie,"Did you take a test, though, on the day of the debate?",President Trump,"No. No, but I take a lot of tests.",Counterargument
Savannah Guthrie,"Did you take a test, though, on the day of the debate?",President Trump,"Possibly I did, possibly I didn’t. But the doctor has very accurate information and it’s not only that doctor, it’s many doctors. The one thing, if you’re President, you have a lot of doctors you’re surrounded by. But I was in great shape for the debate. And sometime after the debate, I tested positive, then that’s when they decided to, let’s go.",Counterargument
Savannah Guthrie,"So you did you take a test on the day of the debate, I guess is the bottom line?",President Trump,"No. No, but I take a lot of tests.",Counterargument
Savannah Guthrie,"So you did you take a test on the day of the debate, I guess is the bottom line?",President Trump,"Possibly I did, possibly I didn’t. But the doctor has very accurate information and it’s not only that doctor, it’s many doctors. The one thing, if you’re President, you have a lot of doctors you’re surrounded by. But I was in great shape for the debate. And sometime after the debate, I tested positive, then that’s when they decided to, let’s go.",Counterargument
Savannah Guthrie,"So you did you take a test on the day of the debate, I guess is the bottom line?",President Trump,"Well, they do a lot of testing in the White House, they test everybody including me, but they test everybody. And something happened. But as far as the mask is concerned, I’m good with masks. I’m okay with masks. I tell people, wear a mask. But just the other day, they came out with a statement that 85% of the people that wear masks catch it. So this is a very-",Counterargument
Savannah Guthrie,"Just to button it up, do you take a test every single day?",President Trump,"Possibly I did, possibly I didn’t. But the doctor has very accurate information and it’s not only that doctor, it’s many doctors. The one thing, if you’re President, you have a lot of doctors you’re surrounded by. But I was in great shape for the debate. And sometime after the debate, I tested positive, then that’s when they decided to, let’s go.",Counterargument
Savannah Guthrie,"Just to button it up, do you take a test every single day?",President Trump,"Well, they do a lot of testing in the White House, they test everybody including me, but they test everybody. And something happened. But as far as the mask is concerned, I’m good with masks. I’m okay with masks. I tell people, wear a mask. But just the other day, they came out with a statement that 85% of the people that wear masks catch it. So this is a very-",Counterargument
Savannah Guthrie,"Just to button it up, do you take a test every single day?",President Trump,"That’s what I heard, and that’s what I saw. And regardless, but everybody’s tested and they’re tested often. And I also knew that, hey, I’m President. I have to see people. I can’t be in a basement. I can’t be in a room. I can’t be… I have to be out.",Counterargument
Savannah Guthrie,Okay. And you don’t know if you took a test the day of the debate?,President Trump,"Well, they do a lot of testing in the White House, they test everybody including me, but they test everybody. And something happened. But as far as the mask is concerned, I’m good with masks. I’m okay with masks. I tell people, wear a mask. But just the other day, they came out with a statement that 85% of the people that wear masks catch it. So this is a very-",Counterargument
Savannah Guthrie,Okay. And you don’t know if you took a test the day of the debate?,President Trump,"That’s what I heard, and that’s what I saw. And regardless, but everybody’s tested and they’re tested often. And I also knew that, hey, I’m President. I have to see people. I can’t be in a basement. I can’t be in a room. I can’t be… I have to be out.",Counterargument
Savannah Guthrie,Okay. And you don’t know if you took a test the day of the debate?,President Trump,"I can, but people with masks are catching it all the time. I mean, if you look at the Governor of Virginia, he was known for a mask. If you look at Thom Tillis, a great guy, he always had a mask, and they caught it.",Counterargument
Savannah Guthrie,"Okay, good. I hopefully provided some clarity for folks. Let’s talk about the event that was held at the White House on the Saturday before you tested positive. Subsequent to that, 13 people connected to that event tested positive. There was an outdoor reception, you’ve seen the pictures. There was an indoor reception. People were not wearing masks. My question to you is, at this point in the pandemic, knowing what we know, shouldn’t you have known better? Shouldn’t the White House know better than to hold an event like that?",President Trump,"That’s what I heard, and that’s what I saw. And regardless, but everybody’s tested and they’re tested often. And I also knew that, hey, I’m President. I have to see people. I can’t be in a basement. I can’t be in a room. I can’t be… I have to be out.",Counterargument
Savannah Guthrie,"Okay, good. I hopefully provided some clarity for folks. Let’s talk about the event that was held at the White House on the Saturday before you tested positive. Subsequent to that, 13 people connected to that event tested positive. There was an outdoor reception, you’ve seen the pictures. There was an indoor reception. People were not wearing masks. My question to you is, at this point in the pandemic, knowing what we know, shouldn’t you have known better? Shouldn’t the White House know better than to hold an event like that?",President Trump,"I can, but people with masks are catching it all the time. I mean, if you look at the Governor of Virginia, he was known for a mask. If you look at Thom Tillis, a great guy, he always had a mask, and they caught it.",Counterargument
Savannah Guthrie,"Okay, good. I hopefully provided some clarity for folks. Let’s talk about the event that was held at the White House on the Saturday before you tested positive. Subsequent to that, 13 people connected to that event tested positive. There was an outdoor reception, you’ve seen the pictures. There was an indoor reception. People were not wearing masks. My question to you is, at this point in the pandemic, knowing what we know, shouldn’t you have known better? Shouldn’t the White House know better than to hold an event like that?",President Trump,Yeah.,Counterargument
Savannah Guthrie,It didn’t say that. I know that study.,President Trump,"I can, but people with masks are catching it all the time. I mean, if you look at the Governor of Virginia, he was known for a mask. If you look at Thom Tillis, a great guy, he always had a mask, and they caught it.",Counterargument
Savannah Guthrie,It didn’t say that. I know that study.,President Trump,Yeah.,Counterargument
Savannah Guthrie,It didn’t say that. I know that study.,President Trump,"Yes, I know this.",Counterargument
Savannah Guthrie,"You can see people with a mask, though, right?",President Trump,Yeah.,Neutral
Savannah Guthrie,"You can see people with a mask, though, right?",President Trump,"Yes, I know this.",Neutral
Savannah Guthrie,"You can see people with a mask, though, right?",President Trump,"Well, I mean, he has to say that. I think it’s great, he’s a friend of mine. He’s a good guy. And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing. And every time I go into a crowd, I was with the parents of our fallen heroes. These people are the most incredible people. And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you.",Counterargument
Savannah Guthrie,"Well, there are pictures of Thom Tillis, actually with one of Judge Barrett’s kids not wearing a mask. But you know Chris Christie, he was part of your debate prep.",President Trump,"Yes, I know this.",Counterargument
Savannah Guthrie,"Well, there are pictures of Thom Tillis, actually with one of Judge Barrett’s kids not wearing a mask. But you know Chris Christie, he was part of your debate prep.",President Trump,"Well, I mean, he has to say that. I think it’s great, he’s a friend of mine. He’s a good guy. And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing. And every time I go into a crowd, I was with the parents of our fallen heroes. These people are the most incredible people. And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you.",Counterargument
Savannah Guthrie,"Well, there are pictures of Thom Tillis, actually with one of Judge Barrett’s kids not wearing a mask. But you know Chris Christie, he was part of your debate prep.",President Trump,"There was, exactly right. We had a gold star event with the most incredible people you’ve ever seen. And I could have chosen not to talk to them, or to keep everybody away. And you know what? I don’t think that’s probably where it was caught, but maybe it was.",Counterargument
Savannah Guthrie,"He was, I believe at that event. He came out tonight, he was sick, very sick. He was in the hospital for about a week.",President Trump,"Well, I mean, he has to say that. I think it’s great, he’s a friend of mine. He’s a good guy. And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing. And every time I go into a crowd, I was with the parents of our fallen heroes. These people are the most incredible people. And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you.",Counterargument
Savannah Guthrie,"He was, I believe at that event. He came out tonight, he was sick, very sick. He was in the hospital for about a week.",President Trump,"There was, exactly right. We had a gold star event with the most incredible people you’ve ever seen. And I could have chosen not to talk to them, or to keep everybody away. And you know what? I don’t think that’s probably where it was caught, but maybe it was.",Counterargument
Savannah Guthrie,"He was, I believe at that event. He came out tonight, he was sick, very sick. He was in the hospital for about a week.",President Trump,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from. But as the President, I have to be out there. I also know-",Counterargument
Savannah Guthrie,"He came out tonight and said, “I was wrong not to wear a mask.”",President Trump,"There was, exactly right. We had a gold star event with the most incredible people you’ve ever seen. And I could have chosen not to talk to them, or to keep everybody away. And you know what? I don’t think that’s probably where it was caught, but maybe it was.",Counterargument
Savannah Guthrie,"He came out tonight and said, “I was wrong not to wear a mask.”",President Trump,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from. But as the President, I have to be out there. I also know-",Counterargument
Savannah Guthrie,"He came out tonight and said, “I was wrong not to wear a mask.”",President Trump,I know this.,Restatement
Savannah Guthrie,"Now, there was an event with the gold star families the day after the Supreme Court event.",President Trump,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from. But as the President, I have to be out there. I also know-",Counterargument
Savannah Guthrie,"Now, there was an event with the gold star families the day after the Supreme Court event.",President Trump,I know this.,Neutral
Savannah Guthrie,"Now, there was an event with the gold star families the day after the Supreme Court event.",President Trump,"I mean, let’s see, Kamala. She’s got people now, people have it, and I’m not blaming her. I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. I can’t be locked in a very beautiful room someplace in the White House. And I want to see the gold star families, and I want to see everybody. And I also say to people all the time, it’s risky doing it. It is risky doing it.",Neutral
Savannah Guthrie,"I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID?",President Trump,I know this.,Counterargument
Savannah Guthrie,"I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID?",President Trump,"I mean, let’s see, Kamala. She’s got people now, people have it, and I’m not blaming her. I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. I can’t be locked in a very beautiful room someplace in the White House. And I want to see the gold star families, and I want to see everybody. And I also say to people all the time, it’s risky doing it. It is risky doing it.",Counterargument
Savannah Guthrie,"I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID?",President Trump,"But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen. But many people are getting this. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world. Look at what’s going on in Europe, massive spikes. They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy. There’s tremendous spikes.",Counterargument
Savannah Guthrie,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies.",President Trump,"I mean, let’s see, Kamala. She’s got people now, people have it, and I’m not blaming her. I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. I can’t be locked in a very beautiful room someplace in the White House. And I want to see the gold star families, and I want to see everybody. And I also say to people all the time, it’s risky doing it. It is risky doing it.",Counterargument
Savannah Guthrie,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies.",President Trump,"But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen. But many people are getting this. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world. Look at what’s going on in Europe, massive spikes. They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy. There’s tremendous spikes.",Counterargument
Savannah Guthrie,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies.",President Trump,"Well, I have thing right here that will tell you exactly the opposite.",Counterargument
Savannah Guthrie,Your rallies don’t require masks.,President Trump,"But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen. But many people are getting this. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world. Look at what’s going on in Europe, massive spikes. They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy. There’s tremendous spikes.",Counterargument
Savannah Guthrie,Your rallies don’t require masks.,President Trump,"Well, I have thing right here that will tell you exactly the opposite.",Counterargument
Savannah Guthrie,Your rallies don’t require masks.,President Trump,"The UK is up 2500%, because I knew you’d be doing this. I know you very well. The UK is up 2500%. The EU is up 722%. And the United States is down 21%.",Counterargument
Savannah Guthrie,"But as President, you’re right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-",President Trump,"Well, I have thing right here that will tell you exactly the opposite.",Counterargument
Savannah Guthrie,"But as President, you’re right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-",President Trump,"The UK is up 2500%, because I knew you’d be doing this. I know you very well. The UK is up 2500%. The EU is up 722%. And the United States is down 21%.",Counterargument
Savannah Guthrie,"But as President, you’re right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-",President Trump,Excess mortality.,Counterargument
Savannah Guthrie,"But our death rate is worse than, well, not Spain, but those other countries.",President Trump,"The UK is up 2500%, because I knew you’d be doing this. I know you very well. The UK is up 2500%. The EU is up 722%. And the United States is down 21%.",Counterargument
Savannah Guthrie,"But our death rate is worse than, well, not Spain, but those other countries.",President Trump,Excess mortality.,Counterargument
Savannah Guthrie,"But our death rate is worse than, well, not Spain, but those other countries.",President Trump,"Excess mortality, we’re a winner on the excess mortality. And what we’ve done has been amazing. And we have done an amazing job. And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming. And I’ll tell you what, one thing. When I got it, I had a choice. Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron. and Eli Lilly makes something that’s supposed to be incredible. And I think that maybe I wouldn’t be doing this discussion with you right now. We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah.",Counterargument
Savannah Guthrie,Me too.,President Trump,Excess mortality.,Neutral
Savannah Guthrie,Me too.,President Trump,"Excess mortality, we’re a winner on the excess mortality. And what we’ve done has been amazing. And we have done an amazing job. And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming. And I’ll tell you what, one thing. When I got it, I had a choice. Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron. and Eli Lilly makes something that’s supposed to be incredible. And I think that maybe I wouldn’t be doing this discussion with you right now. We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah.",Counterargument
Savannah Guthrie,Me too.,President Trump,"I believe we’re rounding the corner, yes.",Neutral
Savannah Guthrie,But we have per… Our deaths per capita is among the highest of all-,President Trump,"Excess mortality, we’re a winner on the excess mortality. And what we’ve done has been amazing. And we have done an amazing job. And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming. And I’ll tell you what, one thing. When I got it, I had a choice. Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron. and Eli Lilly makes something that’s supposed to be incredible. And I think that maybe I wouldn’t be doing this discussion with you right now. We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah.",Counterargument
Savannah Guthrie,But we have per… Our deaths per capita is among the highest of all-,President Trump,"I believe we’re rounding the corner, yes.",Counterargument
Savannah Guthrie,But we have per… Our deaths per capita is among the highest of all-,President Trump,"Right, right. That’s right.",Restatement
Savannah Guthrie,I’m sorry?,President Trump,"I believe we’re rounding the corner, yes.",Neutral
Savannah Guthrie,I’m sorry?,President Trump,"Right, right. That’s right.",Neutral
Savannah Guthrie,I’m sorry?,President Trump,Yeah.,Neutral
Savannah Guthrie,I want to pick up on something you just said. You said we’re rounding the corner.,President Trump,"Right, right. That’s right.",Restatement
Savannah Guthrie,I want to pick up on something you just said. You said we’re rounding the corner.,President Trump,Yeah.,Neutral
Savannah Guthrie,I want to pick up on something you just said. You said we’re rounding the corner.,President Trump,"The cure can not be worse than the problem itself. We did the right thing. We were expected to lose 2,200,000 people, and maybe more than that. We’re at 210,000 people. One person is too much, it should have never happened because of China. It happened because of China. And you have to get that and understand that. But it shouldn’t have happened. But we were expected to lose, if you look at the original charts from original doctors who are respected by everybody, 2,200,00 people.",Counterargument
Savannah Guthrie,"10% of the country approximately has had COVID. That means 80%-90%, 90%, let’s do the math, is still vulnerable.",President Trump,Yeah.,Counterargument
Savannah Guthrie,"10% of the country approximately has had COVID. That means 80%-90%, 90%, let’s do the math, is still vulnerable.",President Trump,"The cure can not be worse than the problem itself. We did the right thing. We were expected to lose 2,200,000 people, and maybe more than that. We’re at 210,000 people. One person is too much, it should have never happened because of China. It happened because of China. And you have to get that and understand that. But it shouldn’t have happened. But we were expected to lose, if you look at the original charts from original doctors who are respected by everybody, 2,200,00 people.",Counterargument
Savannah Guthrie,"10% of the country approximately has had COVID. That means 80%-90%, 90%, let’s do the math, is still vulnerable.",President Trump,We saved 2 million people.,Counterargument
Savannah Guthrie,"There’s been some talk, including from the White House lately that perhaps it approves of what’s called herd immunity. That’s where you basically just let young people and everybody gets sick. You try to protect the old people and those who are sick. And hopefully, it gets up to a certain level, and now we’re all immune.",President Trump,"The cure can not be worse than the problem itself. We did the right thing. We were expected to lose 2,200,000 people, and maybe more than that. We’re at 210,000 people. One person is too much, it should have never happened because of China. It happened because of China. And you have to get that and understand that. But it shouldn’t have happened. But we were expected to lose, if you look at the original charts from original doctors who are respected by everybody, 2,200,00 people.",Counterargument
